,Gross domestic product 2023,,,,
,,,,,
,,,,(millions of,
,Ranking,,Economy,US dollars),
,,,,,
USA,1,,United States," 27,720,709 ",
CHN,2,,China," 17,794,783 ",
DEU,3,,Germany," 4,525,704 ",
JPN,4,,Japan," 4,204,495 ",
IND,5,,India," 3,567,552 ",
GBR,6,,United Kingdom," 3,380,855 ",
FRA,7,,France," 3,051,832 ",
ITA,8,,Italy," 2,300,941 ",
BRA,9,,Brazil," 2,173,666 ",
CAN,10,,Canada," 2,142,471 ",
RUS,11,,Russian Federation," 2,021,421 ",a
MEX,12,,Mexico," 1,789,114 ",
AUS,13,,Australia," 1,728,057 ",
KOR,14,,"Korea, Rep."," 1,712,793 ",
ESP,15,,Spain," 1,620,091 ",
IDN,16,,Indonesia," 1,371,171 ",
NLD,17,,Netherlands," 1,154,361 ",
TUR,18,,Türkiye," 1,118,253 ",
SAU,19,,Saudi Arabia," 1,067,583 ",
CHE,20,,Switzerland," 884,940 ",
POL,21,,Poland," 809,201 ",
ARG,22,,Argentina," 646,075 ",
BEL,23,,Belgium," 644,783 ",
SWE,24,,Sweden," 584,960 ",
IRL,25,,Ireland," 551,395 ",
THA,26,,Thailand," 514,969 ",
ARE,27,,United Arab Emirates," 514,130 ",
ISR,28,,Israel," 513,611 ",
AUT,29,,Austria," 511,685 ",
SGP,30,,Singapore," 501,428 ",
NOR,31,,Norway," 485,311 ",
BGD,32,,Bangladesh," 437,415 ",
PHL,33,,Philippines," 437,146 ",
VNM,34,,Viet Nam," 429,717 ",
DNK,35,,Denmark," 407,092 ",
IRN,36,,"Iran, Islamic Rep."," 404,626 ",
MYS,37,,Malaysia," 399,705 ",
EGY,38,,"Egypt, Arab Rep."," 396,002 ",
HKG,39,,"Hong Kong SAR, China"," 380,812 ",
ZAF,40,,South Africa," 380,699 ",
NGA,41,,Nigeria," 363,846 ",
COL,42,,Colombia," 363,494 ",
ROU,43,,Romania," 350,776 ",
CZE,44,,Czech Republic," 343,208 ",
PAK,45,,Pakistan," 337,912 ",
CHL,46,,Chile," 335,533 ",
FIN,47,,Finland," 295,532 ",
PRT,48,,Portugal," 289,114 ",
PER,49,,Peru," 267,603 ",
KAZ,50,,Kazakhstan," 262,642 ",
NZL,51,,New Zealand," 252,176 ",
IRQ,52,,Iraq," 250,843 ",
DZA,53,,Algeria," 247,626 ",
GRC,54,,Greece," 243,498 ",
QAT,55,,Qatar," 213,003 ",
HUN,56,,Hungary," 212,389 ",
UKR,57,,Ukraine," 178,757 ",a
KWT,58,,Kuwait," 163,705 ",
ETH,59,,Ethiopia," 163,698 ",
MAR,60,,Morocco," 144,417 ",b
SVK,61,,Slovak Republic," 132,908 ",
DOM,62,,Dominican Republic," 121,444 ",
ECU,63,,Ecuador," 118,845 ",
PRI,64,,Puerto Rico," 117,902 ",
SDN,65,,Sudan," 109,266 ",
OMN,66,,Oman," 108,811 ",
KEN,67,,Kenya," 108,039 ",
GTM,68,,Guatemala," 104,450 ",
BGR,69,,Bulgaria," 102,408 ",
UZB,70,,Uzbekistan," 101,592 ",
CRI,71,,Costa Rica," 86,498 ",
LUX,72,,Luxembourg," 85,755 ",
AGO,73,,Angola," 84,825 ",
HRV,74,,Croatia," 84,394 ",
LKA,75,,Sri Lanka," 84,357 ",
PAN,76,,Panama," 83,318 ",
SRB,77,,Serbia," 81,343 ",
LTU,78,,Lithuania," 79,790 ",
TZA,79,,Tanzania," 79,062 ",c
CIV,80,,Côte d'Ivoire," 78,875 ",
URY,81,,Uruguay," 77,241 ",
GHA,82,,Ghana," 76,370 ",
AZE,83,,Azerbaijan," 72,356 ",
BLR,84,,Belarus," 71,857 ",
SVN,85,,Slovenia," 69,148 ",
MMR,86,,Myanmar," 66,758 ",
COD,87,,"Congo, Dem. Rep."," 66,383 ",
TKM,88,,Turkmenistan," 60,629 ",
JOR,89,,Jordan," 50,967 ",
CMR,90,,Cameroon," 49,279 ",
UGA,91,,Uganda," 48,769 ",
TUN,92,,Tunisia," 48,530 ",
BHR,93,,Bahrain," 46,080 ",
MAC,94,,"Macao SAR, China"," 45,803 ",
BOL,95,,Bolivia," 45,135 ",
LBY,96,,Libya," 45,096 ",
PRY,97,,Paraguay," 42,956 ",
KHM,98,,Cambodia," 42,336 ",
LVA,99,,Latvia," 42,248 ",
EST,100,,Estonia," 41,291 ",
NPL,101,,Nepal," 40,908 ",
ZWE,102,,Zimbabwe," 35,231 ",
HND,103,,Honduras," 34,401 ",
SLV,104,,El Salvador," 34,016 ",
CYP,105,,Cyprus," 33,887 ",d
ISL,106,,Iceland," 31,325 ",
SEN,107,,Senegal," 30,848 ",
GEO,108,,Georgia," 30,778 ",e
PNG,109,,Papua New Guinea," 30,729 ",
ZMB,110,,Zambia," 27,578 ",
BIH,111,,Bosnia and Herzegovina," 27,515 ",
TTO,112,,Trinidad and Tobago," 27,372 ",
ARM,113,,Armenia," 24,086 ",
SYR,114,,Syrian Arab Republic," 23,623 ",
ALB,115,,Albania," 23,547 ",
MLT,116,,Malta," 22,329 ",
GIN,117,,Guinea," 22,199 ",
LBN,118,,Lebanon," 20,992 ",
MOZ,119,,Mozambique," 20,954 ",
MLI,120,,Mali," 20,662 ",
MNG,121,,Mongolia," 20,325 ",
BFA,122,,Burkina Faso," 20,325 ",
HTI,123,,Haiti," 19,851 ",
BEN,124,,Benin," 19,676 ",
JAM,125,,Jamaica," 19,423 ",
BWA,126,,Botswana," 19,396 ",
GAB,127,,Gabon," 19,388 ",
NIC,128,,Nicaragua," 17,829 ",
PSE,129,,West Bank and Gaza," 17,421 ",
AFG,130,,Afghanistan," 17,233 ",
GUY,131,,Guyana," 17,160 ",
