,year,date,race_id,grand_prix,circuit_ref,circuit_name,country,winner_driver,won_home_race,url
0,2024,2024-12-08,1144,Abu Dhabi Grand Prix,yas_marina,Yas Marina Circuit,UAE,norris,False,https://en.wikipedia.org/wiki/2024_Abu_Dhabi_Grand_Prix
1,2024,2024-12-01,1143,Qatar Grand Prix,losail,Losail International Circuit,Qatar,max_verstappen,False,https://en.wikipedia.org/wiki/2024_Qatar_Grand_Prix
2,2024,2024-11-23,1142,Las Vegas Grand Prix,vegas,Las Vegas Strip Street Circuit,USA,russell,False,https://en.wikipedia.org/wiki/2024_Las_Vegas_Grand_Prix
3,2024,2024-11-03,1141,São Paulo Grand Prix,interlagos,Autódromo José Carlos Pace,Brazil,max_verstappen,False,https://en.wikipedia.org/wiki/2024_S%C3%A3o_Paulo_Grand_Prix
4,2024,2024-10-27,1140,Mexico City Grand Prix,rodriguez,Autódromo Hermanos Rodríguez,Mexico,sainz,False,https://en.wikipedia.org/wiki/2024_Mexico_City_Grand_Prix
5,2024,2024-10-20,1139,United States Grand Prix,americas,Circuit of the Americas,USA,leclerc,False,https://en.wikipedia.org/wiki/2024_United_States_Grand_Prix
6,2024,2024-09-22,1138,Singapore Grand Prix,marina_bay,Marina Bay Street Circuit,Singapore,norris,False,https://en.wikipedia.org/wiki/2024_Singapore_Grand_Prix
7,2024,2024-09-15,1137,Azerbaijan Grand Prix,baku,Baku City Circuit,Azerbaijan,piastri,False,https://en.wikipedia.org/wiki/2024_Azerbaijan_Grand_Prix
8,2024,2024-09-01,1136,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Italy,leclerc,False,https://en.wikipedia.org/wiki/2024_Italian_Grand_Prix
9,2024,2024-08-25,1135,Dutch Grand Prix,zandvoort,Circuit Park Zandvoort,Netherlands,norris,False,https://en.wikipedia.org/wiki/2024_Dutch_Grand_Prix
10,2024,2024-07-28,1134,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Belgium,hamilton,False,https://en.wikipedia.org/wiki/2024_Belgian_Grand_Prix
11,2024,2024-07-21,1133,Hungarian Grand Prix,hungaroring,Hungaroring,Hungary,piastri,False,https://en.wikipedia.org/wiki/2024_Hungarian_Grand_Prix
12,2024,2024-07-07,1132,British Grand Prix,silverstone,Silverstone Circuit,UK,hamilton,True,https://en.wikipedia.org/wiki/2024_British_Grand_Prix
13,2024,2024-06-30,1131,Austrian Grand Prix,red_bull_ring,Red Bull Ring,Austria,russell,False,https://en.wikipedia.org/wiki/2024_Austrian_Grand_Prix
14,2024,2024-06-23,1130,Spanish Grand Prix,catalunya,Circuit de Barcelona-Catalunya,Spain,max_verstappen,False,https://en.wikipedia.org/wiki/2024_Spanish_Grand_Prix
15,2024,2024-06-09,1129,Canadian Grand Prix,villeneuve,Circuit Gilles Villeneuve,Canada,max_verstappen,False,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix
16,2024,2024-05-26,1128,Monaco Grand Prix,monaco,Circuit de Monaco,Monaco,leclerc,True,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix
